City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Dhidhdhoo,MV,82.94,overcast clouds,6.8833,73.1,Dhidhoo beach
653,Middlebury,US,81.1,broken clouds,44.0153,-73.1673,Courtyard by Marriott Middlebury
656,Siilinjarvi,FI,77.02,clear sky,63.0833,27.6667,Hotelli Sandels Oy
659,Wewak,PG,76.53,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
662,Korla,CN,84.79,broken clouds,41.7597,86.1469,Gulisitan Hotel
668,Varkaus,FI,76.3,overcast clouds,62.3153,27.873,Hotel Oscar
672,Pontes E Lacerda,BR,86.07,overcast clouds,-15.2261,-59.3353,Hotel Bressan
675,Tarakan,ID,84.4,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
677,Marmaris,TR,84.15,clear sky,36.855,28.2742,Hawaii Hotel
680,Sayyan,YE,77.18,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
682,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
683,Williamsport,US,81.77,clear sky,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
691,Manzanillo,CU,80.83,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
